numero,nombre,url,attachment_root_items,attachment_items,media_category_terms,post_date,error
165,CEIP Manolo Ortega,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmanoloortega,10,11,86,2025-06-10 11:18:27,
166,MEDIATECA CEO MOGÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ceomogan,278,279,87,2025-06-05 19:19:01,
167,IES GRAN TARAJAL,https://www3.gobiernodecanarias.org/medusa/mediateca/iesgrantarajal,7,8,86,2022-01-17 11:53:25,
168,Ceip Cristóbal García Blairzy,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipcristobalgarciablairzy,6,9,86,2025-06-26 12:30:21,
169,CEIP ALCALDE DIEGO TRUJILLO RODRÍGUEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipalcaldediegotrujillorodriguez,23,23,86,2025-06-04 11:13:18,
170,CER Moya,https://www3.gobiernodecanarias.org/medusa/mediateca/cermoya,6,7,86,2023-05-03 13:17:46,
171,ceipleonycastillo,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipleonycastillo,68,68,86,2024-10-24 21:35:47,
172,CEIP VÍCTOR RODRÍGUEZ JIMÉNEZ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipvictorrodriguezjimenez,31,31,86,2022-06-20 12:20:38,
173,Radio Educat-Higa,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsantateresadejesus,103,105,86,2025-06-24 11:41:24,
174,MEDIATECA C.PROFES.LAPALMA,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslapalma,21,31,86,2025-06-05 08:59:47,
175,IES SANTA LUCÍA,https://www3.gobiernodecanarias.org/medusa/mediateca/iessantalucia,73,73,87,2025-06-21 12:50:38,
176,IES Puerto Cabras Rafael Báez,https://www3.gobiernodecanarias.org/medusa/mediateca/iesenpuertodelrosario,270,270,87,2023-03-23 20:04:26,
177,CEO Barlovento,https://www3.gobiernodecanarias.org/medusa/mediateca/ceobarlovento,57,57,86,2025-04-22 18:34:14,
178,Mediateca CEO La Pared,https://www3.gobiernodecanarias.org/medusa/mediateca/ceolapared,37,37,86,2025-07-04 11:55:02,
179,ceipmarpequeña,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipmarpequena,101,102,86,2025-06-23 08:50:06,
180,CEIP Rafael Gaviño ,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiprafaelgavinodelbosque,0,0,86,,
181,IES El Doctoral ,https://www3.gobiernodecanarias.org/medusa/mediateca/ieseldoctoral,313,435,86,2025-06-22 17:56:47,
182,Mediateca IES Jinámar,https://www3.gobiernodecanarias.org/medusa/mediateca/iesjinamar,227,234,86,2025-06-23 11:59:33,
183,IES EL BATÁN,https://www3.gobiernodecanarias.org/medusa/mediateca/ieselbatan,0,0,86,,
184,CEP La Gomera,https://www3.gobiernodecanarias.org/medusa/mediateca/cprofeslagomera,33,44,86,2025-07-31 10:12:13,
185,CEIP La Lajita,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplalajita,326,326,86,2025-06-26 11:04:14,
186,CEIP TARAJALEJO,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptarajalejo,79,80,86,2025-04-10 10:17:05,
187,MEDIATECA del CEPA Farola de Santa Cruz,https://www3.gobiernodecanarias.org/medusa/mediateca/cepafaroladesantacruz,123,125,90,2025-05-07 09:29:07,
188,CEIP LOPE DE GUERRA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplopedeguerra,36,36,87,2025-06-13 09:17:00,
189,Mediateca IES Doramas,https://www3.gobiernodecanarias.org/medusa/mediateca/iesdoramas,14,14,87,2025-02-14 13:36:08,
190,CEIP Taibique,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiptaibique,59,59,86,2024-11-19 13:33:19,
191,Canal CEIP Las Dunas,https://www3.gobiernodecanarias.org/medusa/mediateca/ceiplasdunas,168,168,86,2025-06-23 09:23:05,
192,CEIP. SAMOGA,https://www3.gobiernodecanarias.org/medusa/mediateca/ceipsamoga,129,152,86,2025-06-10 11:29:02,
